Lý do,Key,Promotion Master Code,Promotion Code,Promo. Detail Line ID,Allocation Code,Brand Code,Brand Name,Section Code,Section Name,Expense Code,Expense Name,Allocation Percent,PA No,Promotion Bus Posting Group,Product Code (Material),Created By,Created Date,Created Time,Last Updated By,Last Updated Date,Last Updated Time,Deleted
Dòng KM đã xóa trên SFA,EPS26090060022108140211642105,EPS2609006,0022,1,1081,402116,Gyoza JP Dumpling,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46273,0.58724537037036995,truc_mt,46273,0.61750000000000005,
Dòng KM đã xóa trên SFA,EPS26090060025108440211642105,EPS2609006,0025,1,1084,402116,Gyoza JP Dumpling,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46273,0.58724537037036995,truc_mt,46273,0.61966435185184998,
Dòng KM đã xóa trên SFA,EPS26090060028108740211642105,EPS2609006,0028,1,1087,402116,Gyoza JP Dumpling,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46273,0.58724537037036995,truc_mt,46273,0.67557870370369999,
Mức (detail line) đã xóa trên SFA,EPS2609009000194140202042105,EPS2609009,0001,2,941,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194240202042105,EPS2609009,0001,2,942,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194340202042105,EPS2609009,0001,2,943,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194440202042105,EPS2609009,0001,2,944,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194540202042105,EPS2609009,0001,2,945,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194640202042105,EPS2609009,0001,2,946,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194740202042105,EPS2609009,0001,2,947,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
