"Id","OrderNumber","PSINumber","Documentdate","Note1","Note2","Desciption","TotalAmountBeforeTax","Taxpayment","TotalAmountAfterTax","SalesOrderDiscountId","Idx","PromotionId","PromotionCode","PromotionDescription","PromotionBy","FormOFPromotion","PromotionType","Type","TypeGroup","DepartmentOfIndustryandTradeCode","SalesProductCode","DiscountAmount","AllocatedPromotionAmount","IsKMDiscountNotReducePrice"
"3a22fccf-fb90-652f-5586-8fde90c73957","SO0000098126","SPSI0011185190","2026-08-10 14:45:55.715118","TIỀN KHUYẾN MÃI CHƯƠNG TRÌNH: : 1.000 Đ;","Chiết khấu thương mại ED2608861","",25999,2080,28079,"1bbee494-f4f0-4578-aebf-1b224e878c62",1,"3a22fc9b-c2b3-f9be-b718-3af07f952553","EP2608861","tiền","A","A","L","Khuyến mãi dòng tặng tiền",NULL,"","140002096",1000,1000,False
"3a22fccf-fb90-652f-5586-8fde90c73957","SO0000098126","SPSI0011185190","2026-08-10 14:45:55.715118","TIỀN KHUYẾN MÃI CHƯƠNG TRÌNH: : 1.000 Đ;","Chiết khấu thương mại ED2608861","",25999,2080,28079,"662a4bc2-b5a7-4e95-859f-1308840d9d2f",2,"3a22fc9b-c2b3-eae8-8f22-433d0794f0e6","EP2608861","chiết khấu","P","P","G","Khuyến mãi nhóm chiết khấu %",NULL,"","140002096",267,267,True
"3a22fccf-fb90-652f-5586-8fde90c73957","SO0000098126","SPSI0011185190","2026-08-10 14:45:55.715118","TIỀN KHUYẾN MÃI CHƯƠNG TRÌNH: : 1.000 Đ;","Chiết khấu thương mại ED2608861","",25999,2080,28079,"818dabb3-452e-4b9e-ad25-0dd5b07dcb9b",3,"3a22fc9b-c2b3-45a9-15b4-e655a7d652c5","EP2608861","sản phẩm","Q","Q","G","Khuyến mãi nhóm tặng sản phẩm","P","","140002096",NULL,0,False
"3a22fccf-fb90-652f-5586-8fde90c73957","SO0000098126","SPSI0011185190","2026-08-10 14:45:55.715118","TIỀN KHUYẾN MÃI CHƯƠNG TRÌNH: : 1.000 Đ;","Chiết khấu thương mại ED2608861","",25999,2080,28079,"8d09d9e1-169b-403c-be1a-7fd87618ce10",4,"3a22fc9b-c2b2-844c-3447-a71c9b3ad7ed","EP2608861","chiết khấu k tick","P","P","G","Khuyến mãi nhóm chiết khấu %",NULL,"","140002096",400,400,False
