DocumentCode,OrderNumber,InvoiceNumber,FileNames,FirstSyncTime,LastSyncTime,Status,AllUploaded,TruncatedBatch
SPSI0000000180,SO0000000277,972.1C26TDN,"PostedPromotionResultCSV_20260714135008.txt | SalesInvoiceDetailCSV_20260714135008.txt | SalesInvoiceHeaderCSV_20260714135008.txt",2026-07-14T06:50:08.920Z,2026-07-14T06:50:11.797Z,Success,true,false
SPSI0000000187,SO0000000278,990.1C26TDN,"PostedPromotionResultCSV_20260714145315.txt | SalesInvoiceDetailCSV_20260714145315.txt | SalesInvoiceHeaderCSV_20260714145315.txt",2026-07-14T07:53:16.771Z,2026-07-14T07:53:17.988Z,Success,true,false
SPSI0000000182,SO0000000280,978.1C26TDN,"PostedPromotionResultCSV_20260714141116.txt | SalesInvoiceDetailCSV_20260714141116.txt | SalesInvoiceHeaderCSV_20260714141116.txt",2026-07-14T07:11:17.157Z,2026-07-14T07:11:18.427Z,Success,true,false
SPSI0000000183,SO0000000281,979.1C26TDN,"PostedPromotionResultCSV_20260714142807.txt | SalesInvoiceDetailCSV_20260714142807.txt | SalesInvoiceHeaderCSV_20260714142807.txt",2026-07-14T07:28:08.595Z,2026-07-14T07:28:15.704Z,Success,true,false
SPSI0000000188,SO0000000282,991.1C26TDN,"PostedPromotionResultCSV_20260714145415.txt | SalesInvoiceDetailCSV_20260714145415.txt | SalesInvoiceHeaderCSV_20260714145415.txt",2026-07-14T07:54:16.288Z,2026-07-14T07:54:17.392Z,Success,true,false
SPSI0000000194,SO0000000283,998.1C26TDN,"PostedPromotionResultCSV_20260714151910.txt | SalesInvoiceDetailCSV_20260714151910.txt | SalesInvoiceHeaderCSV_20260714151910.txt",2026-07-14T08:19:11.902Z,2026-07-14T08:19:14.101Z,Success,true,false
SPSI0000000189,SO0000000284,992.1C26TDN,"PostedPromotionResultCSV_20260714145415.txt | SalesInvoiceDetailCSV_20260714145415.txt | SalesInvoiceHeaderCSV_20260714145415.txt",2026-07-14T07:54:16.288Z,2026-07-14T07:54:17.392Z,Success,true,false
SPSI0000000195,SO0000000285,1000.1C26TDN,"PostedPromotionResultCSV_20260714152411.txt | SalesInvoiceDetailCSV_20260714152411.txt | SalesInvoiceHeaderCSV_20260714152411.txt",2026-07-14T08:24:12.220Z,2026-07-14T08:24:14.726Z,Success,true,false
SPSI0000000185,SO0000000286,982.1C26TDN,"PostedPromotionResultCSV_20260714143108.txt | SalesInvoiceDetailCSV_20260714143108.txt | SalesInvoiceHeaderCSV_20260714143108.txt",2026-07-14T07:31:09.203Z,2026-07-14T07:31:12.066Z,Success,true,false
SPSI0000000184,SO0000000287,980.1C26TDN,"PostedPromotionResultCSV_20260714143006.txt | SalesInvoiceDetailCSV_20260714143006.txt | SalesInvoiceHeaderCSV_20260714143006.txt",2026-07-14T07:30:07.259Z,2026-07-14T07:30:08.171Z,Success,true,false
SPSI0000000197,SO0000000288,1002.1C26TDN,"PostedPromotionResultCSV_20260714152511.txt | SalesInvoiceDetailCSV_20260714152511.txt | SalesInvoiceHeaderCSV_20260714152511.txt",2026-07-14T08:25:12.248Z,2026-07-14T08:25:13.835Z,Success,true,false
SPSI0000000190,SO0000000290,993.1C26TDN,"PostedPromotionResultCSV_20260714145616.txt | SalesInvoiceDetailCSV_20260714145616.txt | SalesInvoiceHeaderCSV_20260714145616.txt",2026-07-14T07:56:16.415Z,2026-07-14T07:56:17.418Z,Success,true,false
SPSI0000000211,SO0000000292,,,,,,false,false
SPSI0000000193,SO0000000293,997.1C26TDN,"PostedPromotionResultCSV_20260714151005.txt | SalesInvoiceDetailCSV_20260714151005.txt | SalesInvoiceHeaderCSV_20260714151005.txt",2026-07-14T08:10:06.758Z,2026-07-14T08:10:07.635Z,Success,true,false
SPSI0000000192,SO0000000294,995.1C26TDN,"PostedPromotionResultCSV_20260714151005.txt | SalesInvoiceDetailCSV_20260714151005.txt | SalesInvoiceHeaderCSV_20260714151005.txt",2026-07-14T08:10:06.758Z,2026-07-14T08:10:07.635Z,Success,true,false
SPSI0000000210,SO0000000295,,,,,,false,false
SPSI0000000206,SO0000000297,1013.1C26TDN,"PostedPromotionResultCSV_20260714180004.txt | SalesInvoiceDetailCSV_20260714180004.txt | SalesInvoiceHeaderCSV_20260714180004.txt",2026-07-14T11:00:07.042Z,2026-07-14T11:00:08.040Z,Success,true,true
SPSI0000000209,SO0000000298,,,,,,false,false
