Header (SalesInvoiceHeaderCSV_*),,,,,,,Line item (SalesInvoiceDetailCSV_*),,,,
STT,3rd system,Mapping,SAP system,Examples,,,STT,3rd system,Mapping,SAP system,Examples
46,Remark,1:1,ZR_REMARK,Hàng tặng theo đề nghị số 09775-ePRO-LTA-2025,,,46,LocationName,1:1,ZR_SLOC_NAME,GA-LONG THÀNH
47,SalesReturnOrder,1:1,ZR_SALES_RETURN,,,,47,BinName,1:1,ZR_BIN_NAME,GA LONG THÀNH
48,OffRoute,1:1,ZR_OFF_ROUTE,TRUE,,,48,CategoryLv1,1:1,ZR_CATE_1,4
49,DeliveryDate,1:1,ZR_DELI_DATE,20251030,,,49,CategoryLv2,1:1,ZR_CATE_2,403
50,DeliveryTime,1:1,ZR_DELI_TIME,0,,,50,CategoryLv3,1:1,ZR_CATE_3,
51,IsReceipt,1:1,ZR_IS_RECEIPT,FALSE,,,51,ProductHierachyLv1,1:1,ZR_HIERACHY_1,4
52,DueDate,1:1,ZR_DUE_DATE,,,,52,ProductHierachyLv2,1:1,ZR_HIERACHY_2,403
53,CreatedDate,1:1,ZR_CREATE_DATE,20251030,,,53,ProductHierachyLv3,1:1,ZR_HIERACHY_3,40302
54,CreatedTime,1:1,ZR_CREATE_TIME,134645,,,54,ProductHierachyLv4,1:1,ZR_HIERACHY_4,132
55,LastUpdatedDate,1:1,ZR_LAST_UPDATE_DATE,20251030,,,55,BOM,1:1,ZR_BOM,FALSE
56,LastUpdatedTime,1:1,ZR_LAST_UPDATE_TIME,134645,,,,,,,
57,ReturnType,1:1,ZR_RETURN_TYPE,,,,,,,,
58,SalesTeamName,1:1,ZR_CHANNEL_NAME,Other,,,,,,,
59,ExternalDocumentCode,1:1,ZR_EXT_CODE,,,,,,,,
60,LocationName,1:1,ZR_SLOC_NAME,GA-LONG THÀNH,,,,,,,
61,BillToSecondaryCustomerName,1:1,ZR_BILL_TO_CUS_NAME,CÔNG TY AJINOMOTO VIỆT NAM,,,,,,,
62,Attribute7,1:1,ZR_ATTRIBUTE_7,Gift,,,,,,,
63,GrossTotalAmount,1:1,ZR_GROSS_AMT,3502045,,,,,,,
64,StockOutCode,1:1,ZR_STOCK_OUT_CODE,,,,,,,,
65,Method,1:1,ZR_PAY_METH,TM,,,,,,,
66,TaxAuthority,1:1,ZR_TAX_AUTH,3600244645,,,,,,,
67,BranchName,1:1,ZR_BRANCH_NAME,CÔNG TY AJINOMOTO VIỆT NAM,,,,,,,
68,BranchAddress,1:1,ZR_BRANCH_ADDR,"Khu Công nghiệp Biên Hòa I, Phường An Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam",,,,,,,
69,Link,1:1,ZR_LINK,,,,,,,,
70,BookInformation,1:1,ZR_BOOK_INFO,C25TDN+1/001,,,,,,,
71,TypeOfInvoice,1:1,ZR_TYPE_INV,E,,,,,,,
72,BusinessType,1:1,ZR_BIZ_TYPE,Company,,,,,,,
73,SecondaryCustomerNameInvoice,1:1,ZR_CUS_NAME_INV,CÔNG TY AJINOMOTO VIỆT NAM,,,,,,,
74,InvoiceChange,1:1,ZR_INV_CHANGE,,,,,,,,
75,Type,1:1,ZR_TYPE,ZGF2,,,,,,,
76,IdentityCardNumber,1:1,ZR_SDDCN,,,,,,,,
77,BudgetUnitCode,1:1,ZR_MSDVCQHVNS,,,,,,,,
78,NoteDiscount,1:1,ZR_NOTEDISCOUNT,,,,,,,,
79,Note1,1:1,ZR_NOTE1,,,,,,,,
80,Note2,1:1,ZR_NOTE2,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Promotion (PostedPromotionResultCSV_*),,,,,,,,,,,
STT,3rd system,Mapping,SAP system,Examples,,,,,,,
1,CompanyCode,1:1,ZR_EMOB_COMP_CODE,AVN,,,,,,,
